model_id,model_name,provider,release_date,release_date_source,input_price,input_price_source,input_price_status,output_price,output_price_source,output_price_status,intelligence_score,intelligence_source,intelligence_status,reasoning_score,reasoning_source,reasoning_status,coding_score,coding_source,coding_status,tokens_per_second,speed_source,speed_status,latency,latency_source,latency_status,context_window,context_source,context_status,open_weight,open_weight_source,parameter_count,parameter_count_source,overall_coverage,manual_research_needed
deepseek:deepseek-v3,DeepSeek-V3,DeepSeek,2024-12-26,DeepSeek-V3 official model documentation,,,,,,,,,,,,,,,,,,,,,,128000,DeepSeek-V3 official model documentation,FRESH,True,DeepSeek-V3 official model documentation,671,DeepSeek-V3 official model documentation,50.0,7
deepseek:deepseek-r1,DeepSeek-R1,DeepSeek,2025-01-20,DeepSeek-R1 official model documentation,,,,,,,,,,,,,,,,,,,,,,128000,DeepSeek-R1 official model documentation,FRESH,True,DeepSeek-R1 official model documentation,671,DeepSeek-R1 official model documentation,50.0,7
mistral:mistral-medium-3-5,Mistral Medium 3.5,Mistral,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Mistral Medium 3.5 official model documentation,128,Mistral Medium 3.5 official model documentation,35.7,9
mistral:mistral-small-4,Mistral Small 4,Mistral,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Mistral Small 4 official model documentation,,,28.6,10
mistral:mistral-large-3,Mistral Large 3,Mistral,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Mistral Large 3 official model documentation,,,28.6,10
mistral:ministral-3-3b,Ministral 3 3B,Mistral,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Ministral 3 3B official model documentation,3,Ministral 3 3B official model documentation,35.7,9
qwen:qwen3-235b-a22b,Qwen3-235B-A22B,Qwen / Alibaba,2025-04-29,Qwen3-235B-A22B official model documentation,,,,,,,,,,,,,,,,,,,,,,128000,Qwen3-235B-A22B official model documentation,FRESH,True,Qwen3-235B-A22B official model documentation,235,Qwen3-235B-A22B official model documentation,50.0,7
qwen:qwen3-30b-a3b,Qwen3-30B-A3B,Qwen / Alibaba,2025-04-29,Qwen3-30B-A3B official model documentation,,,,,,,,,,,,,,,,,,,,,,128000,Qwen3-30B-A3B official model documentation,FRESH,True,Qwen3-30B-A3B official model documentation,30,Qwen3-30B-A3B official model documentation,50.0,7
qwen:qwen3-8b,Qwen3-8B,Qwen / Alibaba,2025-04-29,Qwen3-8B official model documentation,,,,,,,,,,,,,,,,,,,,,,128000,Qwen3-8B official model documentation,FRESH,True,Qwen3-8B official model documentation,8,Qwen3-8B official model documentation,50.0,7
qwen:qwen3-0-6b,Qwen3-0.6B,Qwen / Alibaba,2025-04-29,Qwen3-0.6B official model documentation,,,,,,,,,,,,,,,,,,,,,,32000,Qwen3-0.6B official model documentation,FRESH,True,Qwen3-0.6B official model documentation,0.6,Qwen3-0.6B official model documentation,50.0,7
cohere:command-a-plus-05-2026,Command A+,Cohere,,,,,,,,,,,,,,,,,,,,,,,,128000,Command A+ official model documentation,FRESH,False,Command A+ official model documentation,,,28.6,10
cohere:command-a-03-2025,Command A,Cohere,2025-03-13,Command A official model documentation,2.5,Cohere Command A pricing,FRESH,10.0,Cohere Command A pricing,FRESH,,,,,,,,,,,,,,,,256000,Command A official model documentation,FRESH,False,Command A official model documentation,,,50.0,7
cohere:command-r7b-12-2024,Command R7B,Cohere,,,,,,,,,,,,,,,,,,,,,,,,128000,Command R7B official model documentation,FRESH,False,Command R7B official model documentation,,,28.6,10
microsoft:phi-4,Phi-4,Microsoft,2024-12-12,Phi-4 official model documentation,,,,,,,,,,,,,,,,,,,,,,16384,Phi-4 official model documentation,FRESH,True,Phi-4 official model documentation,14,Phi-4 official model documentation,50.0,7
microsoft:phi-4-mini-instruct,Phi-4-mini-instruct,Microsoft,2025-02-26,Phi-4-mini-instruct official model documentation,,,,,,,,,,,,,,,,,,,,,,131072,Phi-4-mini-instruct official model documentation,FRESH,True,Phi-4-mini-instruct official model documentation,3.8,Phi-4-mini-instruct official model documentation,50.0,7
microsoft:phi-4-multimodal-instruct,Phi-4-multimodal-instruct,Microsoft,2025-02-26,Phi-4-multimodal-instruct official model documentation,,,,,,,,,,,,,,,,,,,,,,131072,Phi-4-multimodal-instruct official model documentation,FRESH,True,Phi-4-multimodal-instruct official model documentation,5.6,Phi-4-multimodal-instruct official model documentation,50.0,7
nvidia:nemotron-3-5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B,NVIDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Nemotron 3.5 Lightning 30B-A3B official model documentation,30,Nemotron 3.5 Lightning 30B-A3B official model documentation,35.7,9
nvidia:llama-3-1-nemotron-nano-8b-v1,Llama 3.1 Nemotron Nano 8B v1,NVIDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Llama 3.1 Nemotron Nano 8B v1 official model documentation,8,Llama 3.1 Nemotron Nano 8B v1 official model documentation,35.7,9
amazon:nova-2-lite,Amazon Nova 2 Lite,Amazon,,,,,,,,,,,,,,,,,,,,,,,,1000000,Amazon Nova 2 Lite official model documentation,FRESH,False,Amazon Nova 2 Lite official model documentation,,,28.6,10
amazon:nova-premier,Amazon Nova Premier,Amazon,2025-04-30,Amazon Nova Premier official model documentation,,,,,,,,,,,,,,,,,,,,,,1000000,Amazon Nova Premier official model documentation,FRESH,False,Amazon Nova Premier official model documentation,,,35.7,9
amazon:nova-micro,Amazon Nova Micro,Amazon,2024-12-03,Amazon Nova Micro official model documentation,,,,,,,,,,,,,,,,,,,,,,128000,Amazon Nova Micro official model documentation,FRESH,False,Amazon Nova Micro official model documentation,,,35.7,9
moonshot:kimi-k2-6,Kimi K2.6,Moonshot / Kimi,,,,,,,,,,,,,,,,,,,,,,,,256000,Kimi K2.6 official model documentation,FRESH,True,Kimi K2.6 official model documentation,,,35.7,9
moonshot:kimi-k2-5,Kimi K2.5,Moonshot / Kimi,,,,,,,,,,,,,,,,,,,,,,,,256000,Kimi K2.5 official model documentation,FRESH,True,Kimi K2.5 official model documentation,,,35.7,9
minimax:minimax-m2-7,MiniMax M2.7,MiniMax,2026-03-18,MiniMax M2.7 official model documentation,0.3,MiniMax pay-as-you-go pricing,FRESH,1.2,MiniMax pay-as-you-go pricing,FRESH,,,,,,,,,,,,,,,,204800,MiniMax M2.7 official model documentation,FRESH,False,MiniMax M2.7 official model documentation,,,50.0,7
minimax:minimax-m2-5,MiniMax M2.5,MiniMax,,,,,,,,,,,,,,,,,,,,,,,,204800,MiniMax M2.5 official model documentation,FRESH,False,MiniMax M2.5 official model documentation,,,28.6,10
zhipu:glm-4-5,GLM-4.5,Zhipu / GLM,2025-07-28,GLM-4.5 official model documentation,,,,,,,,,,,,,,,,,,,,,,128000,GLM-4.5 official model documentation,FRESH,True,GLM-4.5 official model documentation,355,GLM-4.5 official model documentation,50.0,7
zhipu:glm-4-5v,GLM-4.5V,Zhipu / GLM,,,,,,,,,,,,,,,,,,,,,,,,,,,True,GLM-4.5V official model documentation,106,GLM-4.5V official model documentation,35.7,9
